,id,title,performer,release_date,url,img_url,preview_url
16,8119811,Working Girls,"Chloe Surreal,","Oct 17, 2022",https://www.brazzers.com/video/8119811/working-girls,https://media-public-ht.project1content.com/m=eyzaevFb/b46/754/d75/025/46c/db3/101/cce/1a0/9fb/98/poster/poster_01.jpg,https://prog-public-ht.project1content.com/b46/754/d75/025/46c/db3/101/cce/1a0/9fb/98/mediabook/mediabook_320p.mp4
17,8116631,Impress The Boss,"Jamie Michelle,","Oct 17, 2022",https://www.brazzers.com/video/8116631/impress-the-boss,https://media-public-ht.project1content.com/m=eyzaevFb/539/363/ee0/1dc/485/2b9/238/50a/252/101/ae/poster/poster_01.jpg,https://prog-public-ht.project1content.com/539/363/ee0/1dc/485/2b9/238/50a/252/101/ae/mediabook/mediabook_320p.mp4
18,8128591,Front Row Seat to Cuckold Sex,"Adreena Winters,","Oct 16, 2022",https://www.brazzers.com/video/8128591/front-row-seat-to-cuckold-sex,https://media-public-ht.project1content.com/m=eyzaevFb/526/060/2f6/d04/4f8/ea8/4d5/fca/936/1bc/37/poster/poster_01.jpg,https://prog-public-ht.project1content.com/526/060/2f6/d04/4f8/ea8/4d5/fca/936/1bc/37/mediabook/mediabook_320p.mp4
19,8116551,Slither,"Charlotte Sins,","Oct 15, 2022",https://www.brazzers.com/video/8116551/slither,https://media-public-ht.project1content.com/m=eyzaevFb/7cd/af8/c4b/8ca/4cd/c8d/bda/23a/ce5/2d8/62/poster/poster_01.jpg,https://prog-public-ht.project1content.com/7cd/af8/c4b/8ca/4cd/c8d/bda/23a/ce5/2d8/62/mediabook/mediabook_320p.mp4
20,8116391,Soaking Up Kitana,"Kitana Montana,","Oct 14, 2022",https://www.brazzers.com/video/8116391/soaking-up-kitana,https://media-public-ht.project1content.com/m=eyzaevFb/fa7/f68/a5d/16f/47e/4b4/c08/a3a/5be/cf4/89/poster/poster_01.jpg,https://prog-public-ht.project1content.com/fa7/f68/a5d/16f/47e/4b4/c08/a3a/5be/cf4/89/mediabook/mediabook_320p.mp4
21,8116501,Pervy Discipline,"Veronica Leal,","Oct 14, 2022",https://www.brazzers.com/video/8116501/pervy-discipline,https://media-public-ht.project1content.com/m=eyzaevFb/41a/e84/c2a/0c5/454/0bc/bbe/b4d/878/67e/86/poster/poster_01.jpg,https://prog-public-ht.project1content.com/41a/e84/c2a/0c5/454/0bc/bbe/b4d/878/67e/86/mediabook/mediabook_320p.mp4
22,8116331,Meeting & Eating My Dad's New Girlfriend,"Gogo Fukme,","Oct 13, 2022",https://www.brazzers.com/video/8116331/meeting-eating-my-dads-new-girlfriend,https://media-public-ht.project1content.com/m=eyzaevFb/443/704/2f6/267/405/0b9/cbe/d5d/a79/7a4/fe/poster/poster_01.jpg,https://prog-public-ht.project1content.com/443/704/2f6/267/405/0b9/cbe/d5d/a79/7a4/fe/mediabook/mediabook_320p.mp4
23,8118991,All's Fair in Love And Prank War,"Ryan Reid, Jay Romero","Oct 13, 2022",https://www.brazzers.com/video/8118991/alls-fair-in-love-and-prank-war,https://media-public-ht.project1content.com/m=eyzaevFb/950/b77/6bf/2ef/476/088/3ff/973/f9c/9a6/79/poster/poster_01.jpg,https://prog-public-ht.project1content.com/950/b77/6bf/2ef/476/088/3ff/973/f9c/9a6/79/mediabook/mediabook_320p.mp4
24,8116301,Big Wet Office Fantasy,"Bunny Madison,","Oct 12, 2022",https://www.brazzers.com/video/8116301/big-wet-office-fantasy,https://media-public-ht.project1content.com/m=eyzaevFb/19b/9ce/feb/678/43c/7a2/840/8dc/17b/e01/80/poster/poster_01.jpg,https://prog-public-ht.project1content.com/19b/9ce/feb/678/43c/7a2/840/8dc/17b/e01/80/mediabook/mediabook_320p.mp4
25,8116601,"Step Sibling Rivalry, Threesome Gloryhole Fuckery","Aften Opal, Zerella Skies","Oct 12, 2022",https://www.brazzers.com/video/8116601/step-sibling-rivalry-threesome-gloryhole-fuckery,https://media-public-ht.project1content.com/m=eyzaevFb/d89/2b1/7f5/e77/492/580/da0/c7e/652/159/8d/poster/poster_01.jpg,https://prog-public-ht.project1content.com/d89/2b1/7f5/e77/492/580/da0/c7e/652/159/8d/mediabook/mediabook_320p.mp4
