,id,title,img_url
43,77108,The Amazing Spider-Man #40 ,https://i.annihil.us/u/prod/marvel/i/mg/f/40/5e4c366bf0eae/portrait_uncanny.jpg
44,77109,The Amazing Spider-Man #41 ,https://i.annihil.us/u/prod/marvel/i/mg/3/50/5e5d47224c740/portrait_uncanny.jpg
45,77110,The Amazing Spider-Man #42 ,https://i.annihil.us/u/prod/marvel/i/mg/9/c0/5e62ac8643ce8/portrait_uncanny.jpg
46,77111,The Amazing Spider-Man #43 ,https://i.annihil.us/u/prod/marvel/i/mg/9/90/5e8653b4d50cf/portrait_uncanny.jpg
47,77112,The Amazing Spider-Man #44 ,https://i.annihil.us/u/prod/marvel/i/mg/9/70/5e8b6d0d63a55/portrait_uncanny.jpg
48,77113,The Amazing Spider-Man #45 ,https://i.annihil.us/u/prod/marvel/i/mg/4/20/5f282a691f928/portrait_uncanny.jpg
49,77114,The Amazing Spider-Man #46 ,https://i.annihil.us/u/prod/marvel/i/mg/9/80/5f282a7d4eb09/portrait_uncanny.jpg
50,77115,The Amazing Spider-Man #47 ,https://i.annihil.us/u/prod/marvel/i/mg/9/20/5f3d36e00f45b/portrait_uncanny.jpg
51,77116,The Amazing Spider-Man #48 ,https://i.annihil.us/u/prod/marvel/i/mg/3/80/5f08995c22b04/portrait_uncanny.jpg
52,77117,The Amazing Spider-Man #49 ,https://i.annihil.us/u/prod/marvel/i/mg/6/a0/5f11ee848c407/portrait_uncanny.jpg
53,77118,The Amazing Spider-Man #50 ,https://i.annihil.us/u/prod/marvel/i/mg/a/20/5f2d7d954e9d1/portrait_uncanny.jpg
54,90548,The Amazing Spider-Man #50.1 ,https://i.annihil.us/u/prod/marvel/i/mg/8/f0/5f2da5075b34b/portrait_uncanny.jpg
55,77119,The Amazing Spider-Man #51 ,https://i.annihil.us/u/prod/marvel/i/mg/a/03/60196809e154c/portrait_uncanny.jpg
56,90549,The Amazing Spider-Man #51.1 ,https://i.annihil.us/u/prod/marvel/i/mg/a/03/601af79813582/portrait_uncanny.jpg
57,90550,The Amazing Spider-Man #52.1 ,https://i.annihil.us/u/prod/marvel/i/mg/9/40/601af75af2c58/portrait_uncanny.jpg
58,77120,The Amazing Spider-Man #52 ,https://i.annihil.us/u/prod/marvel/i/mg/6/80/601af7a6c3696/portrait_uncanny.jpg
59,77121,The Amazing Spider-Man #53 ,https://i.annihil.us/u/prod/marvel/i/mg/6/20/601af724e27f2/portrait_uncanny.jpg
60,90551,The Amazing Spider-Man #53.1 ,https://i.annihil.us/u/prod/marvel/i/mg/9/a0/601afd798d0e6/portrait_uncanny.jpg
61,77122,The Amazing Spider-Man #54 ,https://i.annihil.us/u/prod/marvel/i/mg/b/60/601afd0b1c2d7/portrait_uncanny.jpg
62,91507,The Amazing Spider-Man #54.1 ,https://i.annihil.us/u/prod/marvel/i/mg/1/04/5fda7dee519d8/portrait_uncanny.jpg
63,89510,The Amazing Spider-Man #55 ,https://i.annihil.us/u/prod/marvel/i/mg/c/d0/5fda7db7509e5/portrait_uncanny.jpg
64,89511,The Amazing Spider-Man #56 ,https://i.annihil.us/u/prod/marvel/i/mg/a/20/5ff370f52d87f/portrait_uncanny.jpg
65,89512,The Amazing Spider-Man #57 ,https://i.annihil.us/u/prod/marvel/i/mg/c/70/5ff32d3c6e6d1/portrait_uncanny.jpg
66,89513,The Amazing Spider-Man #58 ,https://i.annihil.us/u/prod/marvel/i/mg/f/a0/6009ea3823013/portrait_uncanny.jpg
67,89514,The Amazing Spider-Man #59 ,https://i.annihil.us/u/prod/marvel/i/mg/0/03/601970276b2a4/portrait_uncanny.jpg
68,89515,The Amazing Spider-Man #60 ,https://i.annihil.us/u/prod/marvel/i/mg/d/50/60303644b7791/portrait_uncanny.jpg
69,89516,The Amazing Spider-Man #61 ,https://i.annihil.us/u/prod/marvel/i/mg/3/c0/603d21e98b991/portrait_uncanny.jpg
70,89517,The Amazing Spider-Man #62 ,https://i.annihil.us/u/prod/marvel/i/mg/2/f0/60464dff24112/portrait_uncanny.jpg
71,89518,The Amazing Spider-Man #63 ,https://i.annihil.us/u/prod/marvel/i/mg/3/60/605cee2452097/portrait_uncanny.jpg
72,89519,The Amazing Spider-Man #64 ,https://i.annihil.us/u/prod/marvel/i/mg/6/a0/606f61e76d40f/portrait_uncanny.jpg
73,89520,The Amazing Spider-Man #65 ,https://i.annihil.us/u/prod/marvel/i/mg/1/b0/608990e67f369/portrait_uncanny.jpg
74,89521,The Amazing Spider-Man #66 ,https://i.annihil.us/u/prod/marvel/i/mg/6/d0/609d81b746be6/portrait_uncanny.jpg
75,89522,The Amazing Spider-Man #67 ,https://i.annihil.us/u/prod/marvel/i/mg/9/70/60afe2c06d669/portrait_uncanny.jpg
76,89523,The Amazing Spider-Man #68 ,https://i.annihil.us/u/prod/marvel/i/mg/2/e0/60afe28116324/portrait_uncanny.jpg
77,89524,The Amazing Spider-Man #69 ,https://i.annihil.us/u/prod/marvel/i/mg/e/d0/60cd0f57bb5ca/portrait_uncanny.jpg
78,89525,The Amazing Spider-Man #70 ,https://i.annihil.us/u/prod/marvel/i/mg/a/00/60d5e774e5af8/portrait_uncanny.jpg
79,89526,The Amazing Spider-Man #71 ,https://i.annihil.us/u/prod/marvel/i/mg/5/80/60fad3540400f/portrait_uncanny.jpg
80,89527,The Amazing Spider-Man #72 ,https://i.annihil.us/u/prod/marvel/i/mg/5/e0/60e5e1550fd03/portrait_uncanny.jpg
