,vol_num,caption,release_date,cover_url
35,Avengers Vol 8 36,"""The Age of Khonshu - Part Four: Moons of Fire, Stars of Blood, Panthers of Black""","September 30, 2020",https://static.wikia.nocookie.net/marveldatabase/images/d/d4/Avengers_Vol_8_36.jpg
36,Avengers Vol 8 37,"""The Age of Khonshu - Conclusion: Phoenix: Moonsong""","October 14, 2020",https://static.wikia.nocookie.net/marveldatabase/images/9/94/Avengers_Vol_8_37.jpg
37,Avengers Vol 8 38,"""The Fly That Laid a Billion Maggots""","November 4, 2020",https://static.wikia.nocookie.net/marveldatabase/images/5/53/Avengers_Vol_8_38.jpg
38,Avengers Vol 8 39,"""The Burnt Place""","December 9, 2020",https://static.wikia.nocookie.net/marveldatabase/images/6/65/Avengers_Vol_8_39.jpg
39,Avengers Vol 8 40,"""Enter the Phoenix - Part One: Sleep Now in the Fire""","December 30, 2020",https://static.wikia.nocookie.net/marveldatabase/images/5/54/Avengers_Vol_8_40.jpg
40,Avengers Vol 8 41,"""Enter the Phoenix - Part Two: Black Flame in the Hour of Chaos""","January 20, 2021",https://static.wikia.nocookie.net/marveldatabase/images/1/11/Avengers_Vol_8_41.jpg
41,Avengers Vol 8 42,"""Enter the Phoenix - Part Three: Be Like Fire""","February 3, 2021",https://static.wikia.nocookie.net/marveldatabase/images/c/c0/Avengers_Vol_8_42.jpg
42,Avengers Vol 8 43,"""Enter the Phoenix - Part Four: In the Beginning... There Was Not Darkness""","March 3, 2021",https://static.wikia.nocookie.net/marveldatabase/images/5/50/Avengers_Vol_8_43.jpg
43,Avengers Vol 8 44,"""Enter the Phoenix - Part Five: I Am... Phoenix!""","April 7, 2021",https://static.wikia.nocookie.net/marveldatabase/images/4/4b/Avengers_Vol_8_44.jpg
44,Avengers Vol 8 45,"""The King in Blood""","April 21, 2021",https://static.wikia.nocookie.net/marveldatabase/images/0/01/Avengers_Vol_8_45.jpg
45,Avengers Vol 8 46,"""World War She-Hulk - Part One: The Taking & Breaking of Jennifer Walters""","July 7, 2021",https://static.wikia.nocookie.net/marveldatabase/images/b/b1/Avengers_Vol_8_46.jpg
46,Avengers Vol 8 47,"""World War She-Hulk - Part Two: The Winter Hulk""","August 4, 2021",https://static.wikia.nocookie.net/marveldatabase/images/a/a0/Avengers_Vol_8_47.jpg
47,Avengers Vol 8 48,"""World War She-Hulk - Part Three: Power in the Blood""","September 1, 2021",https://static.wikia.nocookie.net/marveldatabase/images/2/2f/Avengers_Vol_8_48.jpg
48,Avengers Vol 8 49,"""World War She-Hulk - Part Four: The Bomb Beneath the Waves""","October 13, 2021",https://static.wikia.nocookie.net/marveldatabase/images/b/bc/Avengers_Vol_8_49.jpg
49,Avengers Vol 8 50,"""An Earth Unlike Any Other (Just Like All the Rest)""","December 1, 2021",https://static.wikia.nocookie.net/marveldatabase/images/7/7a/Avengers_Vol_8_50.jpg
50,Avengers Vol 8 51,"""The Death Hunters - Part One: A Dark Phoenix Rises Over Asgard""","December 22, 2021",https://static.wikia.nocookie.net/marveldatabase/images/1/18/Avengers_Vol_8_51.jpg
51,Avengers Vol 8 52,"""The Death Hunters - Part Two: Where is She Who Has Been Born With the Brand of the Stars?""","January 19, 2022",https://static.wikia.nocookie.net/marveldatabase/images/4/4f/Avengers_Vol_8_52.jpg
52,Avengers Vol 8 53,"""The Death Hunters - Part Three: The Vivisection of Avengers Mountain""","February 9, 2022",https://static.wikia.nocookie.net/marveldatabase/images/7/7d/Avengers_Vol_8_53.jpg
53,Avengers Vol 8 54,"""The Death Hunters - Conclusion: Even Thunder Can Burn, Even Deathloks Can Die""","March 16, 2022",https://static.wikia.nocookie.net/marveldatabase/images/1/19/Avengers_Vol_8_54.jpg
54,Avengers Vol 8 55,"""Night of the Panther, Dawn of the Hawk""","April 20, 2022",https://static.wikia.nocookie.net/marveldatabase/images/0/0b/Avengers_Vol_8_55.jpg
55,Avengers Vol 8 56,"""The Saga of Jane""","May 25, 2022",https://static.wikia.nocookie.net/marveldatabase/images/d/df/Avengers_Vol_8_56.jpg
56,Avengers Vol 8 57,"""History's Mightiest Heroes, Part One - Soldier Supreme: Stalked by the Soul Sniper""","June 29, 2022",https://static.wikia.nocookie.net/marveldatabase/images/b/b9/Avengers_Vol_8_57.jpg
57,Avengers Vol 8 58,"""History's Mightiest Heroes, Part Two: The Way of the Ghost""","July 20, 2022",https://static.wikia.nocookie.net/marveldatabase/images/c/cf/Avengers_Vol_8_58.jpg
58,Avengers Vol 8 59,"""History's Mightiest Heroes, Part Three: The Wild West's Wildest Outlaw Avengers in... Death Rides the Sky Rails""","August 10, 2022",https://static.wikia.nocookie.net/marveldatabase/images/f/ff/Avengers_Vol_8_59.jpg
59,Avengers Vol 8 60,"""The Higher Rooftop""","September 21, 2022",https://static.wikia.nocookie.net/marveldatabase/images/d/dc/Avengers_Vol_8_60.jpg
60,Avengers Vol 8 61,Release date:,"October 19, 2022",https://static.wikia.nocookie.net/marveldatabase/images/0/0e/Avengers_Vol_8_61.jpg
61,Avengers Vol 8 62,Release date:,"November 9, 2022",https://static.wikia.nocookie.net/marveldatabase/images/4/4b/Avengers_Vol_8_62.jpg
62,Avengers Vol 8 63,Release date:,"December 7, 2022",https://static.wikia.nocookie.net/marveldatabase/images/5/5b/Avengers_Vol_8_63.jpg
63,Avengers Vol 8 64,Release date:,"January 4, 2023",https://static.wikia.nocookie.net/marveldatabase/images/7/73/Avengers_Vol_8_64.jpg
