,vol_num,caption,release_date,cover_url
0,Amazing Spider-Man Vol 1 328,Shaw's Gambit,"January, 1990",https://static.wikia.nocookie.net/marveldatabase/images/d/de/Amazing_Spider-Man_Vol_1_328.jpg
1,Amazing Spider-Man Vol 1 329,Power Prey!,"February, 1990",https://static.wikia.nocookie.net/marveldatabase/images/e/ed/Amazing_Spider-Man_Vol_1_329.jpg
2,Amazing Spider-Man Vol 1 330,The Powder Chase,"March, 1990",https://static.wikia.nocookie.net/marveldatabase/images/a/a3/Amazing_Spider-Man_Vol_1_330.jpg
3,Amazing Spider-Man Vol 1 331,"""The Death Standard""","April, 1990",https://static.wikia.nocookie.net/marveldatabase/images/f/f7/Amazing_Spider-Man_Vol_1_331.jpg
4,Amazing Spider-Man Vol 1 332,Sunday in the Park with Venom!,"May, 1990",https://static.wikia.nocookie.net/marveldatabase/images/c/cc/Amazing_Spider-Man_Vol_1_332.jpg
5,Amazing Spider-Man Vol 1 333,Stalking Feat!,"June, 1990",https://static.wikia.nocookie.net/marveldatabase/images/5/57/Amazing_Spider-Man_Vol_1_333.jpg
6,Amazing Spider-Man Vol 1 334,"Secrets, Puzzles and Little Fears...","July, 1990",https://static.wikia.nocookie.net/marveldatabase/images/5/5f/Amazing_Spider-Man_Vol_1_334.jpg
7,Amazing Spider-Man Vol 1 335,Shocks!,"July, 1990",https://static.wikia.nocookie.net/marveldatabase/images/b/b0/Amazing_Spider-Man_Vol_1_335.jpg
8,Amazing Spider-Man Vol 1 336,The Wagers of Sin,"August, 1990",https://static.wikia.nocookie.net/marveldatabase/images/0/09/Amazing_Spider-Man_Vol_1_336.jpg
9,Amazing Spider-Man Vol 1 337,Rites and Wrongs,"August, 1990",https://static.wikia.nocookie.net/marveldatabase/images/2/2a/Amazing_Spider-Man_Vol_1_337.jpg
10,Amazing Spider-Man Vol 1 338,Death From Above!,"September, 1990",https://static.wikia.nocookie.net/marveldatabase/images/d/db/Amazing_Spider-Man_Vol_1_338.jpg
11,Amazing Spider-Man Vol 1 339,The Killing Cure!,"September, 1990",https://static.wikia.nocookie.net/marveldatabase/images/f/f2/Amazing_Spider-Man_Vol_1_339.jpg
