,vol_num,caption,release_date,cover_url
0,Amazing Spider-Man Vol 5 1,"""Back to Basics: Part One""","July 11, 2018",https://static.wikia.nocookie.net/marveldatabase/images/6/60/Amazing_Spider-Man_Vol_5_1.jpg
1,Amazing Spider-Man Vol 5 2,"""Back to Basics: Part Two""","July 25, 2018",https://static.wikia.nocookie.net/marveldatabase/images/6/65/Amazing_Spider-Man_Vol_5_2.jpg
2,Amazing Spider-Man Vol 5 3,"""Back to Basics: Part Three""","August 8, 2018",https://static.wikia.nocookie.net/marveldatabase/images/b/b1/Amazing_Spider-Man_Vol_5_3.jpg
3,Amazing Spider-Man Vol 5 4,"""Back to Basics: Part Four""","August 22, 2018",https://static.wikia.nocookie.net/marveldatabase/images/f/f7/Amazing_Spider-Man_Vol_5_4.jpg
4,Amazing Spider-Man Vol 5 5,"""Back to Basics: Part Five""","September 12, 2018",https://static.wikia.nocookie.net/marveldatabase/images/f/fe/Amazing_Spider-Man_Vol_5_5.jpg
5,Amazing Spider-Man Vol 5 6,"""A Trivial Pursuit: Part One""","September 26, 2018",https://static.wikia.nocookie.net/marveldatabase/images/f/f9/Amazing_Spider-Man_Vol_5_6.jpg
6,Amazing Spider-Man Vol 5 7,"""A Trivial Pursuit: Part Two""","October 10, 2018",https://static.wikia.nocookie.net/marveldatabase/images/0/04/Amazing_Spider-Man_Vol_5_7.jpg
7,Amazing Spider-Man Vol 5 8,"""Heist: Part 1""","October 24, 2018",https://static.wikia.nocookie.net/marveldatabase/images/8/83/Amazing_Spider-Man_Vol_5_8.jpg
8,Amazing Spider-Man Vol 5 9,"""Heist: Part 2""","November 14, 2018",https://static.wikia.nocookie.net/marveldatabase/images/8/80/Amazing_Spider-Man_Vol_5_9.jpg
9,Amazing Spider-Man Vol 5 10,"""Heist: Part 3""","November 28, 2018",https://static.wikia.nocookie.net/marveldatabase/images/a/a8/Amazing_Spider-Man_Vol_5_10.jpg
10,Amazing Spider-Man Vol 5 11,"""Lifetime Achievement: Part One""","December 12, 2018",https://static.wikia.nocookie.net/marveldatabase/images/1/10/Amazing_Spider-Man_Vol_5_11.jpg
11,Amazing Spider-Man Vol 5 12,"""Lifetime Achievement: Part Two""","December 19, 2018",https://static.wikia.nocookie.net/marveldatabase/images/7/77/Amazing_Spider-Man_Vol_5_12.jpg
12,Amazing Spider-Man Vol 5 13,"""Lifetime Achievement: Part Three""","January 16, 2019",https://static.wikia.nocookie.net/marveldatabase/images/8/84/Amazing_Spider-Man_Vol_5_13.jpg
13,Amazing Spider-Man Vol 5 14,"""Family Matters: Part One""","January 30, 2019",https://static.wikia.nocookie.net/marveldatabase/images/0/0a/Amazing_Spider-Man_Vol_5_14.jpg
14,Amazing Spider-Man Vol 5 15,"""Family Matters: Part Two""","February 13, 2019",https://static.wikia.nocookie.net/marveldatabase/images/6/6a/Amazing_Spider-Man_Vol_5_15.jpg
15,Amazing Spider-Man Vol 5 16,"""Hunted: Prelude""","February 27, 2019",https://static.wikia.nocookie.net/marveldatabase/images/8/88/Amazing_Spider-Man_Vol_5_16.jpg
16,Amazing Spider-Man Vol 5 16.HU,"""Hunted""","March 6, 2019",https://static.wikia.nocookie.net/marveldatabase/images/3/33/Amazing_Spider-Man_Vol_5_16.HU.jpg
17,Amazing Spider-Man Vol 5 17,"""Hunted: Part 1""","March 13, 2019",https://static.wikia.nocookie.net/marveldatabase/images/7/77/Amazing_Spider-Man_Vol_5_17.jpg
18,Amazing Spider-Man Vol 5 18,"""Hunted: Part 2""","March 27, 2019",https://static.wikia.nocookie.net/marveldatabase/images/3/38/Amazing_Spider-Man_Vol_5_18.jpg
19,Amazing Spider-Man Vol 5 18.HU,"""Hunted""","April 3, 2019",https://static.wikia.nocookie.net/marveldatabase/images/3/37/Amazing_Spider-Man_Vol_5_18.HU.jpg
20,Amazing Spider-Man Vol 5 19,"""Hunted: Part 3""","April 10, 2019",https://static.wikia.nocookie.net/marveldatabase/images/f/fa/Amazing_Spider-Man_Vol_5_19.jpg
21,Amazing Spider-Man Vol 5 19.HU,"""Hunted""","April 17, 2019",https://static.wikia.nocookie.net/marveldatabase/images/2/21/Amazing_Spider-Man_Vol_5_19.HU.jpg
