,vol_num,caption,release_date,cover_url
0,Amazing Spider-Man Vol 6 1,Release date:,"April 27, 2022",https://static.wikia.nocookie.net/marveldatabase/images/b/b9/Amazing_Spider-Man_Vol_6_1.jpg
1,Amazing Spider-Man Vol 6 2,Release date:,"May 25, 2022",https://static.wikia.nocookie.net/marveldatabase/images/c/cb/Amazing_Spider-Man_Vol_6_2.jpg
2,Amazing Spider-Man Vol 6 3,Release date:,"June 8, 2022",https://static.wikia.nocookie.net/marveldatabase/images/a/af/Amazing_Spider-Man_Vol_6_3.jpg
3,Amazing Spider-Man Vol 6 4,Release date:,"June 22, 2022",https://static.wikia.nocookie.net/marveldatabase/images/f/f2/Amazing_Spider-Man_Vol_6_4.jpg
4,Amazing Spider-Man Vol 6 5,Release date:,"July 6, 2022",https://static.wikia.nocookie.net/marveldatabase/images/6/68/Amazing_Spider-Man_Vol_6_5.jpg
5,Amazing Spider-Man Vol 6 6,Release date:,"July 27, 2022",https://static.wikia.nocookie.net/marveldatabase/images/d/da/Amazing_Spider-Man_Vol_6_6.jpg
6,Amazing Spider-Man Vol 6 7,Release date:,"August 10, 2022",https://static.wikia.nocookie.net/marveldatabase/images/5/5b/Amazing_Spider-Man_Vol_6_7.jpg
7,Amazing Spider-Man Vol 6 8,Release date:,"August 24, 2022",https://static.wikia.nocookie.net/marveldatabase/images/0/06/Amazing_Spider-Man_Vol_6_8.jpg
8,Amazing Spider-Man Vol 6 9,Release date:,"September 14, 2022",https://static.wikia.nocookie.net/marveldatabase/images/6/6c/Amazing_Spider-Man_Vol_6_9.jpg
9,Amazing Spider-Man Vol 6 10,Release date:,"September 28, 2022",https://static.wikia.nocookie.net/marveldatabase/images/8/8c/Amazing_Spider-Man_Vol_6_10.jpg
10,Amazing Spider-Man Vol 6 11,Release date:,"October 12, 2022",https://static.wikia.nocookie.net/marveldatabase/images/8/83/Amazing_Spider-Man_Vol_6_11.jpg
11,Amazing Spider-Man Vol 6 12,Release date:,"October 26, 2022",https://static.wikia.nocookie.net/marveldatabase/images/7/77/Amazing_Spider-Man_Vol_6_12.jpg
12,Amazing Spider-Man Vol 6 13,Release date:,"November 9, 2022",https://static.wikia.nocookie.net/marveldatabase/images/e/e6/Amazing_Spider-Man_Vol_6_13.jpg
13,Amazing Spider-Man Vol 6 14,Release date:,"November 23, 2022",https://static.wikia.nocookie.net/marveldatabase/images/2/22/Amazing_Spider-Man_Vol_6_14.jpg
14,Amazing Spider-Man Vol 6 15,Release date:,"December 14, 2022",https://static.wikia.nocookie.net/marveldatabase/images/1/17/Amazing_Spider-Man_Vol_6_15.jpg
15,Amazing Spider-Man Vol 6 16,Release date:,"December 28, 2022",https://static.wikia.nocookie.net/marveldatabase/images/c/cf/Amazing_Spider-Man_Vol_6_16.jpg
16,Amazing Spider-Man Vol 6 17,Release date:,"January 11, 2023",https://static.wikia.nocookie.net/marveldatabase/images/c/cb/Amazing_Spider-Man_Vol_6_17.jpg
17,Amazing Spider-Man Vol 6 18,Release date:,"January 25, 2023",https://static.wikia.nocookie.net/marveldatabase/images/8/86/Amazing_Spider-Man_Vol_6_18.jpg
