,vol_num,caption,release_date,cover_url
0,Amazing Spider-Man Vol 1 80,"""On the Trail of the Chameleon!""","January, 1970",https://static.wikia.nocookie.net/marveldatabase/images/4/44/Amazing_Spider-Man_Vol_1_80.jpg
1,Amazing Spider-Man Vol 1 81,The Coming of the Kangaroo!,"February, 1970",https://static.wikia.nocookie.net/marveldatabase/images/7/72/Amazing_Spider-Man_Vol_1_81.jpg
2,Amazing Spider-Man Vol 1 82,"""And then came Electro!""","March, 1970",https://static.wikia.nocookie.net/marveldatabase/images/8/82/Amazing_Spider-Man_Vol_1_82.jpg
3,Amazing Spider-Man Vol 1 83,The Schemer!,"April, 1970",https://static.wikia.nocookie.net/marveldatabase/images/8/88/Amazing_Spider-Man_Vol_1_83.jpg
4,Amazing Spider-Man Vol 1 84,The Kingpin Strikes Back!,"May, 1970",https://static.wikia.nocookie.net/marveldatabase/images/3/3d/Amazing_Spider-Man_Vol_1_84.jpg
5,Amazing Spider-Man Vol 1 85,"""And now...the Secret of the Schemer!""","June, 1970",https://static.wikia.nocookie.net/marveldatabase/images/f/ff/Amazing_Spider-Man_Vol_1_85.jpg
6,Amazing Spider-Man Vol 1 86,"""Beware...The Black Widow!""","July, 1970",https://static.wikia.nocookie.net/marveldatabase/images/8/8a/Amazing_Spider-Man_Vol_1_86.jpg
7,Amazing Spider-Man Vol 1 87,"""Unmasked At Last!""","August, 1970",https://static.wikia.nocookie.net/marveldatabase/images/2/25/Amazing_Spider-Man_Vol_1_87.jpg
8,Amazing Spider-Man Vol 1 88,"""The Arms of Doctor Octopus!""","September, 1970",https://static.wikia.nocookie.net/marveldatabase/images/4/47/Amazing_Spider-Man_Vol_1_88.jpg
9,Amazing Spider-Man Vol 1 89,"""Doc Ock Lives!""","October, 1970",https://static.wikia.nocookie.net/marveldatabase/images/c/cb/Amazing_Spider-Man_Vol_1_89.jpg
10,Amazing Spider-Man Vol 1 90,"""And Death Shall Come!""","November, 1970",https://static.wikia.nocookie.net/marveldatabase/images/2/24/Amazing_Spider-Man_Vol_1_90.jpg
11,Amazing Spider-Man Vol 1 91,To Smash the Spider!,"December, 1970",https://static.wikia.nocookie.net/marveldatabase/images/e/e4/Amazing_Spider-Man_Vol_1_91.jpg
12,Amazing Spider-Man Vol 1 92,When Iceman Attacks!,"January, 1971",https://static.wikia.nocookie.net/marveldatabase/images/d/de/Amazing_Spider-Man_Vol_1_92.jpg
13,Amazing Spider-Man Vol 1 93,The Lady and --- the Prowler!,"February, 1971",https://static.wikia.nocookie.net/marveldatabase/images/6/63/Amazing_Spider-Man_Vol_1_93.jpg
14,Amazing Spider-Man Vol 1 94,On Wings of Death!,"March, 1971",https://static.wikia.nocookie.net/marveldatabase/images/e/e5/Amazing_Spider-Man_Vol_1_94.jpg
15,Amazing Spider-Man Vol 1 95,"""Trap for a Terrorist!""","April, 1971",https://static.wikia.nocookie.net/marveldatabase/images/7/7b/Amazing_Spider-Man_Vol_1_95.jpg
16,Amazing Spider-Man Vol 1 96,"""...And Now, The Goblin!""","May, 1971",https://static.wikia.nocookie.net/marveldatabase/images/6/6e/Amazing_Spider-Man_Vol_1_96.jpg
17,Amazing Spider-Man Vol 1 97,In The Grip Of The Goblin!,"June, 1971",https://static.wikia.nocookie.net/marveldatabase/images/1/17/Amazing_Spider-Man_Vol_1_97.jpg
18,Amazing Spider-Man Vol 1 98,The Goblin's Last Gasp!,"July, 1971",https://static.wikia.nocookie.net/marveldatabase/images/b/b1/Amazing_Spider-Man_Vol_1_98.jpg
19,Amazing Spider-Man Vol 1 99,"""A Day in the Life Of ---""","August, 1971",https://static.wikia.nocookie.net/marveldatabase/images/0/0b/Amazing_Spider-Man_Vol_1_99.jpg
20,Amazing Spider-Man Vol 1 100,"""The Spider or the Man?""","September, 1971",https://static.wikia.nocookie.net/marveldatabase/images/e/e8/Amazing_Spider-Man_Vol_1_100.jpg
21,Amazing Spider-Man Vol 1 101,"""A Monster Called Morbius!""","October, 1971",https://static.wikia.nocookie.net/marveldatabase/images/e/e7/Amazing_Spider-Man_Vol_1_101.jpg
22,Amazing Spider-Man Vol 1 102,Vampire at Large! / -- The Way It Began / The Curse and the Cure!,"November, 1971",https://static.wikia.nocookie.net/marveldatabase/images/8/89/Amazing_Spider-Man_Vol_1_102.jpg
23,Amazing Spider-Man Vol 1 103,"""Walk The Savage Land!""","December, 1971",https://static.wikia.nocookie.net/marveldatabase/images/5/59/Amazing_Spider-Man_Vol_1_103.jpg
24,Amazing Spider-Man Vol 1 104,"""The Beauty And The Brute""","January, 1972",https://static.wikia.nocookie.net/marveldatabase/images/c/c9/Amazing_Spider-Man_Vol_1_104.jpg
25,Amazing Spider-Man Vol 1 105,"""The Spider Slayer!""","February, 1972",https://static.wikia.nocookie.net/marveldatabase/images/6/60/Amazing_Spider-Man_Vol_1_105.jpg
26,Amazing Spider-Man Vol 1 106,"""Squash Goes the Spider!""","March, 1972",https://static.wikia.nocookie.net/marveldatabase/images/a/a4/Amazing_Spider-Man_Vol_1_106.jpg
27,Amazing Spider-Man Vol 1 107,Spidey Smashes Thru!,"April, 1972",https://static.wikia.nocookie.net/marveldatabase/images/3/36/Amazing_Spider-Man_Vol_1_107.jpg
28,Amazing Spider-Man Vol 1 108,"""Vengeance from Vietnam!""","May, 1972",https://static.wikia.nocookie.net/marveldatabase/images/9/94/Amazing_Spider-Man_Vol_1_108.jpg
29,Amazing Spider-Man Vol 1 109,"""Enter Dr. Strange!""","June, 1972",https://static.wikia.nocookie.net/marveldatabase/images/a/a8/Amazing_Spider-Man_Vol_1_109.jpg
30,Amazing Spider-Man Vol 1 110,"""The Birth Of...The Gibbon!""","July, 1972",https://static.wikia.nocookie.net/marveldatabase/images/2/2b/Amazing_Spider-Man_Vol_1_110.jpg
31,Amazing Spider-Man Vol 1 111,"""To Stalk A Spider!""","August, 1972",https://static.wikia.nocookie.net/marveldatabase/images/f/f2/Amazing_Spider-Man_Vol_1_111.jpg
32,Amazing Spider-Man Vol 1 112,"""Spidey Cops Out!""","September, 1972",https://static.wikia.nocookie.net/marveldatabase/images/4/4e/Amazing_Spider-Man_Vol_1_112.jpg
33,Amazing Spider-Man Vol 1 113,They Call the Doctor... Octopus!,"October, 1972",https://static.wikia.nocookie.net/marveldatabase/images/2/25/Amazing_Spider-Man_Vol_1_113.jpg
34,Amazing Spider-Man Vol 1 114,"""Gang War, Schmang War! What I Want to know is ...who the Heck is Hammerhead?""","November, 1972",https://static.wikia.nocookie.net/marveldatabase/images/1/19/Amazing_Spider-Man_Vol_1_114.jpg
35,Amazing Spider-Man Vol 1 115,"""The Last Battle!""","December, 1972",https://static.wikia.nocookie.net/marveldatabase/images/5/51/Amazing_Spider-Man_Vol_1_115.jpg
36,Amazing Spider-Man Vol 1 116,"""Suddenly...The Smasher!""","January, 1973",https://static.wikia.nocookie.net/marveldatabase/images/a/a6/Amazing_Spider-Man_Vol_1_116.jpg
37,Amazing Spider-Man Vol 1 117,"""The Deadly Designs Of The Disruptor""","February, 1973",https://static.wikia.nocookie.net/marveldatabase/images/d/d3/Amazing_Spider-Man_Vol_1_117.jpg
38,Amazing Spider-Man Vol 1 118,Countdown to Chaos!,"March, 1973",https://static.wikia.nocookie.net/marveldatabase/images/f/f7/Amazing_Spider-Man_Vol_1_118.jpg
39,Amazing Spider-Man Vol 1 119,The Gentleman's Name Is... Hulk!,"April, 1973",https://static.wikia.nocookie.net/marveldatabase/images/b/bb/Amazing_Spider-Man_Vol_1_119.jpg
40,Amazing Spider-Man Vol 1 120,"""The Fight and the Fury!""","May, 1973",https://static.wikia.nocookie.net/marveldatabase/images/2/24/Amazing_Spider-Man_Vol_1_120.jpg
41,Amazing Spider-Man Vol 1 121,The Night Gwen Stacy Died,"June, 1973",https://static.wikia.nocookie.net/marveldatabase/images/6/6e/Amazing_Spider-Man_Vol_1_121.jpg
42,Amazing Spider-Man Vol 1 122,The Goblin's Last Stand!,"July, 1973",https://static.wikia.nocookie.net/marveldatabase/images/f/f6/Amazing_Spider-Man_Vol_1_122.jpg
43,Amazing Spider-Man Vol 1 123,"""...Just a Man Called Cage!""","August, 1973",https://static.wikia.nocookie.net/marveldatabase/images/f/f7/Amazing_Spider-Man_Vol_1_123.jpg
44,Amazing Spider-Man Vol 1 124,The Mark of the Man-Wolf,"September, 1973",https://static.wikia.nocookie.net/marveldatabase/images/1/16/Amazing_Spider-Man_Vol_1_124.jpg
45,Amazing Spider-Man Vol 1 125,"""Wolfhunt!""","October, 1973",https://static.wikia.nocookie.net/marveldatabase/images/3/3e/Amazing_Spider-Man_Vol_1_125.jpg
46,Amazing Spider-Man Vol 1 126,"""The Kangaroo Bounces Back""","November, 1973",https://static.wikia.nocookie.net/marveldatabase/images/1/16/Amazing_Spider-Man_Vol_1_126.jpg
47,Amazing Spider-Man Vol 1 127,"""The Dark Wings Of Death!""","December, 1973",https://static.wikia.nocookie.net/marveldatabase/images/f/fa/Amazing_Spider-Man_Vol_1_127.jpg
48,Amazing Spider-Man Vol 1 128,"""The Vulture Hangs High""","January, 1974",https://static.wikia.nocookie.net/marveldatabase/images/3/34/Amazing_Spider-Man_Vol_1_128.jpg
49,Amazing Spider-Man Vol 1 129,The Punisher Strikes Twice!,"February, 1974",https://static.wikia.nocookie.net/marveldatabase/images/2/23/Amazing_Spider-Man_Vol_1_129.jpg
50,Amazing Spider-Man Vol 1 130,"""Betrayed!""","March, 1974",https://static.wikia.nocookie.net/marveldatabase/images/1/1b/Amazing_Spider-Man_Vol_1_130.jpg
51,Amazing Spider-Man Vol 1 131,"""My Uncle...My Enemy?""","April, 1974",https://static.wikia.nocookie.net/marveldatabase/images/b/ba/Amazing_Spider-Man_Vol_1_131.jpg
52,Amazing Spider-Man Vol 1 132,"""The Master Plan of The Molten Man!""","May, 1974",https://static.wikia.nocookie.net/marveldatabase/images/0/0c/Amazing_Spider-Man_Vol_1_132.jpg
53,Amazing Spider-Man Vol 1 133,"""The Molten Man Breaks Out!""","June, 1974",https://static.wikia.nocookie.net/marveldatabase/images/d/d4/Amazing_Spider-Man_Vol_1_133.jpg
54,Amazing Spider-Man Vol 1 134,Danger Is a Man Named... Tarantula,"July, 1974",https://static.wikia.nocookie.net/marveldatabase/images/c/c5/Amazing_Spider-Man_Vol_1_134.jpg
55,Amazing Spider-Man Vol 1 135,"""Shoot-Out In Central Park!""","August, 1974",https://static.wikia.nocookie.net/marveldatabase/images/9/9d/Amazing_Spider-Man_Vol_1_135.jpg
56,Amazing Spider-Man Vol 1 136,"""The Green Goblin Lives Again!""","September, 1974",https://static.wikia.nocookie.net/marveldatabase/images/f/fe/Amazing_Spider-Man_Vol_1_136.jpg
57,Amazing Spider-Man Vol 1 137,The Green Goblin Strikes!,"October, 1974",https://static.wikia.nocookie.net/marveldatabase/images/9/92/Amazing_Spider-Man_Vol_1_137.jpg
58,Amazing Spider-Man Vol 1 138,"""Madness Means...The Mindworm""","November, 1974",https://static.wikia.nocookie.net/marveldatabase/images/7/7e/Amazing_Spider-Man_Vol_1_138.jpg
59,Amazing Spider-Man Vol 1 139,Day Of The Grizzly!,"December, 1974",https://static.wikia.nocookie.net/marveldatabase/images/8/8c/Amazing_Spider-Man_Vol_1_139.jpg
60,Amazing Spider-Man Vol 1 140,"""...And One Will Fall""","January, 1975",https://static.wikia.nocookie.net/marveldatabase/images/b/b4/Amazing_Spider-Man_Vol_1_140.jpg
61,Amazing Spider-Man Vol 1 141,"""The Man's Name Appears To Be...Mysterio!""","February, 1975",https://static.wikia.nocookie.net/marveldatabase/images/9/98/Amazing_Spider-Man_Vol_1_141.jpg
62,Amazing Spider-Man Vol 1 142,"""Dead Man's Bluff!""","March, 1975",https://static.wikia.nocookie.net/marveldatabase/images/b/b6/Amazing_Spider-Man_Vol_1_142.jpg
63,Amazing Spider-Man Vol 1 143,...And The Wind Cries: Cyclone!,"April, 1975",https://static.wikia.nocookie.net/marveldatabase/images/d/d1/Amazing_Spider-Man_Vol_1_143.jpg
64,Amazing Spider-Man Vol 1 144,The Delusion Conspiracy,"May, 1975",https://static.wikia.nocookie.net/marveldatabase/images/9/98/Amazing_Spider-Man_Vol_1_144.jpg
65,Amazing Spider-Man Vol 1 145,"Gwen Stacy is alive...and, well...?!","June, 1975",https://static.wikia.nocookie.net/marveldatabase/images/0/09/Amazing_Spider-Man_Vol_1_145.jpg
66,Amazing Spider-Man Vol 1 146,Scorpion......where is thy sting?,"July, 1975",https://static.wikia.nocookie.net/marveldatabase/images/e/e9/Amazing_Spider-Man_Vol_1_146.jpg
67,Amazing Spider-Man Vol 1 147,The Tarantula is a Very Deadly Beast!,"August, 1975",https://static.wikia.nocookie.net/marveldatabase/images/e/ed/Amazing_Spider-Man_Vol_1_147.jpg
68,Amazing Spider-Man Vol 1 148,"Jackal, Jackal...Who's Got the Jackal?","September, 1975",https://static.wikia.nocookie.net/marveldatabase/images/e/e6/Amazing_Spider-Man_Vol_1_148.jpg
69,Amazing Spider-Man Vol 1 149,"Even If I Live, I Die!","October, 1975",https://static.wikia.nocookie.net/marveldatabase/images/7/7c/Amazing_Spider-Man_Vol_1_149.jpg
70,Amazing Spider-Man Vol 1 150,Spider-Man.... Or Spider-Clone?,"November, 1975",https://static.wikia.nocookie.net/marveldatabase/images/1/11/Amazing_Spider-Man_Vol_1_150.jpg
71,Amazing Spider-Man Vol 1 151,Skirmish Beneath the Streets!,"December, 1975",https://static.wikia.nocookie.net/marveldatabase/images/f/f3/Amazing_Spider-Man_Vol_1_151.jpg
72,Amazing Spider-Man Vol 1 152,"""Shattered by the Shocker!""","January, 1976",https://static.wikia.nocookie.net/marveldatabase/images/7/76/Amazing_Spider-Man_Vol_1_152.jpg
73,Amazing Spider-Man Vol 1 153,"""The Longest Hundred Yards!""","February, 1976",https://static.wikia.nocookie.net/marveldatabase/images/2/24/Amazing_Spider-Man_Vol_1_153.jpg
74,Amazing Spider-Man Vol 1 154,"""The Sandman Always Strikes Twice""","March, 1976",https://static.wikia.nocookie.net/marveldatabase/images/f/fd/Amazing_Spider-Man_Vol_1_154.jpg
75,Amazing Spider-Man Vol 1 155,Whodunit!,"April, 1976",https://static.wikia.nocookie.net/marveldatabase/images/8/8a/Amazing_Spider-Man_Vol_1_155.jpg
76,Amazing Spider-Man Vol 1 156,On a Clear Day You Can See the Mirage!,"May, 1976",https://static.wikia.nocookie.net/marveldatabase/images/7/75/Amazing_Spider-Man_Vol_1_156.jpg
