,title,url,cover_url
37,Volume 38,https://www.detectiveconanworld.com/wiki/Volume_38,https://www.detectiveconanworld.com/wiki/images/thumb/9/9e/Volume_38.jpg/275px-Volume_38.jpg
38,Volume 39,https://www.detectiveconanworld.com/wiki/Volume_39,https://www.detectiveconanworld.com/wiki/images/thumb/c/c7/Volume_39.jpg/275px-Volume_39.jpg
39,Volume 40,https://www.detectiveconanworld.com/wiki/Volume_40,https://www.detectiveconanworld.com/wiki/images/thumb/1/17/Volume_40.jpg/275px-Volume_40.jpg
40,Volume 41,https://www.detectiveconanworld.com/wiki/Volume_41,https://www.detectiveconanworld.com/wiki/images/thumb/f/f7/Volume_41.jpg/275px-Volume_41.jpg
41,Volume 42,https://www.detectiveconanworld.com/wiki/Volume_42,https://www.detectiveconanworld.com/wiki/images/thumb/c/c0/Volume_42.jpg/275px-Volume_42.jpg
42,Volume 43,https://www.detectiveconanworld.com/wiki/Volume_43,https://www.detectiveconanworld.com/wiki/images/thumb/7/78/Volume_43.jpg/275px-Volume_43.jpg
43,Volume 44,https://www.detectiveconanworld.com/wiki/Volume_44,https://www.detectiveconanworld.com/wiki/images/thumb/6/6d/Volume_44.jpg/275px-Volume_44.jpg
44,Volume 45,https://www.detectiveconanworld.com/wiki/Volume_45,https://www.detectiveconanworld.com/wiki/images/thumb/8/80/Volume_45.jpg/275px-Volume_45.jpg
45,Volume 46,https://www.detectiveconanworld.com/wiki/Volume_46,https://www.detectiveconanworld.com/wiki/images/thumb/3/3d/Volume_46.jpg/275px-Volume_46.jpg
46,Volume 47,https://www.detectiveconanworld.com/wiki/Volume_47,https://www.detectiveconanworld.com/wiki/images/thumb/1/1e/Volume_47.jpg/275px-Volume_47.jpg
47,Volume 48,https://www.detectiveconanworld.com/wiki/Volume_48,https://www.detectiveconanworld.com/wiki/images/thumb/0/0c/Volume_48.jpg/275px-Volume_48.jpg
48,Volume 49,https://www.detectiveconanworld.com/wiki/Volume_49,https://www.detectiveconanworld.com/wiki/images/thumb/4/40/Volume_49.jpg/275px-Volume_49.jpg
49,Volume 50,https://www.detectiveconanworld.com/wiki/Volume_50,https://www.detectiveconanworld.com/wiki/images/thumb/9/94/Volume_50.jpg/275px-Volume_50.jpg
